GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",10,    Utilities,448622,411059,492761,570218,475326,549965,369575,416371,273703,310434,328203,312471,341242,345043,360105,395685,426792,482107
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",11,    Construction,6816085,6548826,6915270,7633126,8958240,10201874,12036248,11011466,8349952,6726525,6296481,7275968,8843674,10205767,11422807,13275111,14597054,15779273
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",12,    Manufacturing,24242848,23726485,21507116,21736155,26741908,30903759,35218673,33655454,35946685,38992829,41560125,45064948,46700822,49096226,52260848,45762019,44595974,47272833
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",36,    Transportation and warehousing,4984463,4982036,5337081,5898201,6262486,6855897,6947625,7023635,7008544,7744332,7870606,8260197,8350195,8807911,9722498,10558066,11248231,11900039
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",87,Natural resources and mining,467827,434668,639075,749660,820317,961809,1011999,1102006,1007609,828834,718437,696989,797885,935335,1011096,904058,925233,1034222
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",89,Transportation and utilities,5433084,5393096,5829842,6468419,6737811,7405861,7317200,7440006,7282247,8054766,8198809,8572669,8691437,9152953,10082604,10953751,11675023,12382146
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",6,"    Mining, quarrying, and oil and gas extraction",180974,(D),172443,207749,284212,(D),(D),366902,(D),357839,276780,266051,218092,226599,198652,(D),274209,(D)
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",10,    Utilities,(D),2881144,(D),3508533,3422968,(D),4732836,4785500,5476305,6507180,6240359,5658906,(D),5909621,6604646,6751418,(D),(D)
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",11,    Construction,12375653,(D),13709350,16154422,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",12,    Manufacturing,(D),(D),(D),(D),(D),(D),(D),8803467,(D),(D),(D),(D),9150287,9836837,10435855,(D),(D),(D)
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8146723,8848338
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",,Addenda:,,,,,,,,,,,,,,,,,,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",87,Natural resources and mining,(D),386922,(D),(D),436281,589540,662242,(D),(D),(D),(D),553152,(D),(D),(D),(D),438872,(D)
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
