Geography,Date,Type,Percent Change from Baseline,ID Geography
Washington,4/24/20,Transit Stations,-54,04000US53
Washington,4/25/20,Transit Stations,-46,04000US53
Washington,4/26/20,Transit Stations,-46,04000US53
Washington,4/27/20,Transit Stations,-53,04000US53
Washington,4/28/20,Transit Stations,-51,04000US53
Washington,4/29/20,Transit Stations,-50,04000US53
Washington,4/30/20,Transit Stations,-52,04000US53
Washington,5/1/20,Transit Stations,-48,04000US53
Washington,5/2/20,Transit Stations,-46,04000US53
Washington,5/3/20,Transit Stations,-44,04000US53
Washington,5/4/20,Transit Stations,-50,04000US53
Washington,5/5/20,Transit Stations,-46,04000US53
Washington,5/6/20,Transit Stations,-49,04000US53
Washington,5/7/20,Transit Stations,-46,04000US53
Washington,5/8/20,Transit Stations,-43,04000US53
Washington,5/9/20,Transit Stations,-30,04000US53
Washington,5/10/20,Transit Stations,-32,04000US53
Washington,5/11/20,Transit Stations,-48,04000US53
Washington,5/12/20,Transit Stations,-48,04000US53
Washington,5/13/20,Transit Stations,-45,04000US53
Washington,5/14/20,Transit Stations,-48,04000US53
Washington,5/15/20,Transit Stations,-45,04000US53
Washington,5/16/20,Transit Stations,-41,04000US53
Washington,5/17/20,Transit Stations,-40,04000US53
Washington,5/18/20,Transit Stations,-47,04000US53
Washington,5/19/20,Transit Stations,-46,04000US53
Washington,5/20/20,Transit Stations,-47,04000US53
Washington,5/21/20,Transit Stations,-47,04000US53
Washington,5/22/20,Transit Stations,-44,04000US53
Washington,5/23/20,Transit Stations,-32,04000US53
Washington,5/24/20,Transit Stations,-33,04000US53
Washington,5/25/20,Transit Stations,-56,04000US53
Washington,5/26/20,Transit Stations,-43,04000US53
Washington,5/27/20,Transit Stations,-41,04000US53
Washington,5/28/20,Transit Stations,-42,04000US53
Washington,5/29/20,Transit Stations,-41,04000US53
Washington,5/30/20,Transit Stations,-40,04000US53
Washington,5/31/20,Transit Stations,-36,04000US53
Washington,6/1/20,Transit Stations,-41,04000US53
Washington,6/2/20,Transit Stations,-42,04000US53
Washington,6/3/20,Transit Stations,-40,04000US53
Washington,6/4/20,Transit Stations,-42,04000US53
Washington,6/5/20,Transit Stations,-40,04000US53
Washington,6/6/20,Transit Stations,-31,04000US53
Washington,6/7/20,Transit Stations,-33,04000US53
Washington,6/8/20,Transit Stations,-42,04000US53
Washington,6/9/20,Transit Stations,-44,04000US53
Washington,6/10/20,Transit Stations,-38,04000US53
Washington,6/11/20,Transit Stations,-39,04000US53
Washington,6/12/20,Transit Stations,-38,04000US53
Washington,6/13/20,Transit Stations,-27,04000US53
Washington,6/14/20,Transit Stations,-25,04000US53
Washington,6/15/20,Transit Stations,-41,04000US53
Washington,6/16/20,Transit Stations,-37,04000US53
Washington,6/17/20,Transit Stations,-35,04000US53
Washington,6/18/20,Transit Stations,-35,04000US53
Washington,6/19/20,Transit Stations,-32,04000US53
Washington,6/20/20,Transit Stations,-24,04000US53
Washington,6/21/20,Transit Stations,-22,04000US53
Washington,6/22/20,Transit Stations,-35,04000US53
Washington,6/23/20,Transit Stations,-34,04000US53
Washington,6/24/20,Transit Stations,-34,04000US53
Washington,6/25/20,Transit Stations,-33,04000US53
Washington,6/26/20,Transit Stations,-32,04000US53
Washington,6/27/20,Transit Stations,-24,04000US53
Washington,6/28/20,Transit Stations,-21,04000US53
Washington,6/29/20,Transit Stations,-35,04000US53
Washington,6/30/20,Transit Stations,-36,04000US53
Washington,7/1/20,Transit Stations,-33,04000US53
Washington,7/2/20,Transit Stations,-31,04000US53
Washington,7/3/20,Transit Stations,-35,04000US53
Washington,7/4/20,Transit Stations,-27,04000US53
Washington,7/5/20,Transit Stations,-19,04000US53
Washington,7/6/20,Transit Stations,-33,04000US53
Washington,7/7/20,Transit Stations,-34,04000US53
Washington,7/8/20,Transit Stations,-34,04000US53
Washington,7/9/20,Transit Stations,-36,04000US53
Washington,7/10/20,Transit Stations,-32,04000US53
Washington,7/11/20,Transit Stations,-21,04000US53
Washington,7/12/20,Transit Stations,-22,04000US53
Washington,7/13/20,Transit Stations,-34,04000US53
Washington,7/14/20,Transit Stations,-33,04000US53
Washington,7/15/20,Transit Stations,-33,04000US53
Washington,7/16/20,Transit Stations,-35,04000US53
Washington,7/17/20,Transit Stations,-33,04000US53
Washington,7/18/20,Transit Stations,-16,04000US53
Washington,7/19/20,Transit Stations,-17,04000US53
Washington,7/20/20,Transit Stations,-33,04000US53
Washington,7/21/20,Transit Stations,-34,04000US53
Washington,7/22/20,Transit Stations,-35,04000US53
Washington,7/23/20,Transit Stations,-35,04000US53
Washington,7/24/20,Transit Stations,-33,04000US53
Washington,7/25/20,Transit Stations,-16,04000US53
Washington,7/26/20,Transit Stations,-17,04000US53
Washington,7/27/20,Transit Stations,-34,04000US53
Washington,7/28/20,Transit Stations,-34,04000US53
Washington,7/29/20,Transit Stations,-34,04000US53
Washington,7/30/20,Transit Stations,-35,04000US53
Washington,7/31/20,Transit Stations,-31,04000US53
Washington,8/1/20,Transit Stations,-17,04000US53
Washington,8/2/20,Transit Stations,-18,04000US53
