Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,5/31/20,Transit Stations,-41,04000US27
Minnesota,6/1/20,Transit Stations,-50,04000US27
Minnesota,6/2/20,Transit Stations,-52,04000US27
Minnesota,6/3/20,Transit Stations,-43,04000US27
Minnesota,6/4/20,Transit Stations,-43,04000US27
Minnesota,6/5/20,Transit Stations,-41,04000US27
Minnesota,6/6/20,Transit Stations,-37,04000US27
Minnesota,6/7/20,Transit Stations,-40,04000US27
Minnesota,6/8/20,Transit Stations,-44,04000US27
Minnesota,6/9/20,Transit Stations,-46,04000US27
Minnesota,6/10/20,Transit Stations,-40,04000US27
Minnesota,6/11/20,Transit Stations,-38,04000US27
Minnesota,6/12/20,Transit Stations,-36,04000US27
Minnesota,6/13/20,Transit Stations,-27,04000US27
Minnesota,6/14/20,Transit Stations,-34,04000US27
Minnesota,6/15/20,Transit Stations,-40,04000US27
Minnesota,6/16/20,Transit Stations,-36,04000US27
Minnesota,6/17/20,Transit Stations,-36,04000US27
Minnesota,6/18/20,Transit Stations,-40,04000US27
Minnesota,6/19/20,Transit Stations,-33,04000US27
Minnesota,6/20/20,Transit Stations,-27,04000US27
Minnesota,6/21/20,Transit Stations,-33,04000US27
Minnesota,6/22/20,Transit Stations,-39,04000US27
Minnesota,6/23/20,Transit Stations,-36,04000US27
Minnesota,6/24/20,Transit Stations,-35,04000US27
Minnesota,6/25/20,Transit Stations,-35,04000US27
Minnesota,6/26/20,Transit Stations,-33,04000US27
Minnesota,6/27/20,Transit Stations,-24,04000US27
Minnesota,6/28/20,Transit Stations,-32,04000US27
Minnesota,6/29/20,Transit Stations,-43,04000US27
Minnesota,6/30/20,Transit Stations,-39,04000US27
Minnesota,7/1/20,Transit Stations,-35,04000US27
Minnesota,7/2/20,Transit Stations,-34,04000US27
Minnesota,7/3/20,Transit Stations,-41,04000US27
Minnesota,7/4/20,Transit Stations,-41,04000US27
Minnesota,7/5/20,Transit Stations,-35,04000US27
Minnesota,7/6/20,Transit Stations,-39,04000US27
Minnesota,7/7/20,Transit Stations,-36,04000US27
Minnesota,7/8/20,Transit Stations,-37,04000US27
Minnesota,7/9/20,Transit Stations,-37,04000US27
Minnesota,7/10/20,Transit Stations,-35,04000US27
Minnesota,7/11/20,Transit Stations,-30,04000US27
Minnesota,7/12/20,Transit Stations,-29,04000US27
Minnesota,7/13/20,Transit Stations,-38,04000US27
Minnesota,7/14/20,Transit Stations,-40,04000US27
Minnesota,7/15/20,Transit Stations,-34,04000US27
Minnesota,7/16/20,Transit Stations,-36,04000US27
Minnesota,7/17/20,Transit Stations,-35,04000US27
Minnesota,7/18/20,Transit Stations,-31,04000US27
Minnesota,7/19/20,Transit Stations,-28,04000US27
Minnesota,7/20/20,Transit Stations,-37,04000US27
Minnesota,7/21/20,Transit Stations,-38,04000US27
Minnesota,7/22/20,Transit Stations,-36,04000US27
Minnesota,7/23/20,Transit Stations,-36,04000US27
Minnesota,7/24/20,Transit Stations,-35,04000US27
Minnesota,7/25/20,Transit Stations,-31,04000US27
Minnesota,7/26/20,Transit Stations,-32,04000US27
Minnesota,7/27/20,Transit Stations,-37,04000US27
Minnesota,7/28/20,Transit Stations,-38,04000US27
Minnesota,7/29/20,Transit Stations,-36,04000US27
Minnesota,7/30/20,Transit Stations,-36,04000US27
Minnesota,7/31/20,Transit Stations,-34,04000US27
Minnesota,8/1/20,Transit Stations,-26,04000US27
Minnesota,8/2/20,Transit Stations,-29,04000US27
Minnesota,8/3/20,Transit Stations,-36,04000US27
Minnesota,8/4/20,Transit Stations,-36,04000US27
Minnesota,8/5/20,Transit Stations,-37,04000US27
Minnesota,8/6/20,Transit Stations,-35,04000US27
Minnesota,8/7/20,Transit Stations,-35,04000US27
Minnesota,2/15/20,Workplaces,1,04000US27
Minnesota,2/16/20,Workplaces,1,04000US27
Minnesota,2/17/20,Workplaces,-22,04000US27
Minnesota,2/18/20,Workplaces,-1,04000US27
Minnesota,2/19/20,Workplaces,1,04000US27
Minnesota,2/20/20,Workplaces,1,04000US27
Minnesota,2/21/20,Workplaces,2,04000US27
Minnesota,2/22/20,Workplaces,3,04000US27
Minnesota,2/23/20,Workplaces,3,04000US27
Minnesota,2/24/20,Workplaces,3,04000US27
Minnesota,2/25/20,Workplaces,2,04000US27
Minnesota,2/26/20,Workplaces,2,04000US27
Minnesota,2/27/20,Workplaces,2,04000US27
Minnesota,2/28/20,Workplaces,2,04000US27
Minnesota,2/29/20,Workplaces,5,04000US27
Minnesota,3/1/20,Workplaces,4,04000US27
Minnesota,3/2/20,Workplaces,3,04000US27
Minnesota,3/3/20,Workplaces,1,04000US27
Minnesota,3/4/20,Workplaces,2,04000US27
Minnesota,3/5/20,Workplaces,1,04000US27
Minnesota,3/6/20,Workplaces,-1,04000US27
Minnesota,3/7/20,Workplaces,3,04000US27
Minnesota,3/8/20,Workplaces,2,04000US27
Minnesota,3/9/20,Workplaces,-2,04000US27
Minnesota,3/10/20,Workplaces,-2,04000US27
Minnesota,3/11/20,Workplaces,-3,04000US27
Minnesota,3/12/20,Workplaces,-4,04000US27
Minnesota,3/13/20,Workplaces,-6,04000US27
Minnesota,3/14/20,Workplaces,-1,04000US27
Minnesota,3/15/20,Workplaces,-4,04000US27
Minnesota,3/16/20,Workplaces,-16,04000US27
Minnesota,3/17/20,Workplaces,-24,04000US27
Minnesota,3/18/20,Workplaces,-32,04000US27
Minnesota,3/19/20,Workplaces,-35,04000US27
Minnesota,3/20/20,Workplaces,-36,04000US27
Minnesota,3/21/20,Workplaces,-25,04000US27
Minnesota,3/22/20,Workplaces,-30,04000US27
Minnesota,3/23/20,Workplaces,-39,04000US27
Minnesota,3/24/20,Workplaces,-42,04000US27
Minnesota,3/25/20,Workplaces,-43,04000US27
Minnesota,3/26/20,Workplaces,-43,04000US27
Minnesota,3/27/20,Workplaces,-44,04000US27
Minnesota,3/28/20,Workplaces,-37,04000US27
Minnesota,3/29/20,Workplaces,-38,04000US27
Minnesota,3/30/20,Workplaces,-49,04000US27
Minnesota,3/31/20,Workplaces,-50,04000US27
Minnesota,4/1/20,Workplaces,-50,04000US27
Minnesota,4/2/20,Workplaces,-51,04000US27
Minnesota,4/3/20,Workplaces,-51,04000US27
Minnesota,4/4/20,Workplaces,-35,04000US27
Minnesota,4/5/20,Workplaces,-37,04000US27
Minnesota,4/6/20,Workplaces,-50,04000US27
Minnesota,4/7/20,Workplaces,-51,04000US27
Minnesota,4/8/20,Workplaces,-51,04000US27
Minnesota,4/9/20,Workplaces,-52,04000US27
Minnesota,4/10/20,Workplaces,-54,04000US27
Minnesota,4/11/20,Workplaces,-36,04000US27
Minnesota,4/12/20,Workplaces,-49,04000US27
Minnesota,4/13/20,Workplaces,-50,04000US27
Minnesota,4/14/20,Workplaces,-49,04000US27
Minnesota,4/15/20,Workplaces,-49,04000US27
Minnesota,4/16/20,Workplaces,-49,04000US27
Minnesota,4/17/20,Workplaces,-48,04000US27
Minnesota,4/18/20,Workplaces,-31,04000US27
Minnesota,4/19/20,Workplaces,-34,04000US27
Minnesota,4/20/20,Workplaces,-48,04000US27
Minnesota,4/21/20,Workplaces,-48,04000US27
Minnesota,4/22/20,Workplaces,-49,04000US27
Minnesota,4/23/20,Workplaces,-48,04000US27
Minnesota,4/24/20,Workplaces,-48,04000US27
Minnesota,4/25/20,Workplaces,-30,04000US27
Minnesota,4/26/20,Workplaces,-33,04000US27
Minnesota,4/27/20,Workplaces,-47,04000US27
Minnesota,4/28/20,Workplaces,-49,04000US27
Minnesota,4/29/20,Workplaces,-48,04000US27
Minnesota,4/30/20,Workplaces,-48,04000US27
Minnesota,5/1/20,Workplaces,-47,04000US27
Minnesota,5/2/20,Workplaces,-29,04000US27
Minnesota,5/3/20,Workplaces,-29,04000US27
Minnesota,5/4/20,Workplaces,-45,04000US27
Minnesota,5/5/20,Workplaces,-46,04000US27
Minnesota,5/6/20,Workplaces,-46,04000US27
Minnesota,5/7/20,Workplaces,-46,04000US27
Minnesota,5/8/20,Workplaces,-46,04000US27
Minnesota,5/9/20,Workplaces,-28,04000US27
